X,Y,sol_id,GID_0,panels,panel.area,landscape.area,water,urban,power
1482991.94450123,5801989.73376674,31083,HUN,4,0.0145577542093173,0.0145577542093173,0,0,1.14390326329603
1512651.02170064,5814612.78333319,31084,HUN,2,0.0104966054853573,0.0104966054853573,0,0,0.868388098500196
1370444.12425949,5764703.76147931,31085,HUN,3,0.0103702453700155,0.0103702453700155,0,0,0.859572213418277
1429566.70978212,5816912.05981514,31086,HUN,4,0.0174622269842625,0.0174622269842625,0,0,1.3333752356165
1344530.51553363,5805965.77013384,31087,HUN,4,0.0318469093181528,0.0318469093181528,0,1,
1470489.18129809,5781380.75271141,31088,HUN,5,0.0236511156310476,0.0236511156310476,0,0,1.72169171906745
1802588.86392559,6944450.32067435,31089,EST,8,0.0220890905305743,0.0220890905305743,0,0,1.62537950571793
929213.958320388,6293807.55494737,31090,DEU,2,7.89418790992349e-005,7.89418790992349e-005,0,1,
1370803.09729188,5755189.34725418,31091,HUN,2,0.00968969683867693,0.00968969683867693,0,0,
1399465.47231978,5828746.67891998,31092,HUN,2,0.0117439581602141,0.0117439581602141,0,0,0.954552056635277
1075172.80868984,5954333.29927041,31093,DEU,5,0.00638042198858038,0.00638042198858038,0,0,
716080.900267382,6088631.41631329,31094,DEU,2,0.000119824600194115,0.000119824600194115,0,1,
1826737.96736862,6542820.09402934,31095,LTU,2,0.000589211279282579,0.000589211279282579,0,1,
1905485.1333941,5032519.96737075,31096,GRC,3,0.00320128648748994,0.00320128648748994,0,0,
1906834.79258589,5031146.38223835,31097,GRC,3,0.00343787329392484,0.00343787329392484,0,0,
1906480.03923481,5032058.83702386,31098,GRC,8,0.0108143670402914,0.0108143670402914,0,0,0.890484384996629
1907793.51926719,5032772.68207343,31099,GRC,15,0.0162157109050192,0.0162157109050192,0,0,1.25272010339993
589943.270907783,6297016.25258629,31100,DEU,2,0.00171021536551975,0.00171021536551975,0,0,
1171801.10010565,5996513.42444182,31101,CZE,5,0.0117321337507969,0.0117321337507969,0,0,0.953742258933727
975418.566118382,5924783.26934319,31102,DEU,6,0.0138786192808589,0.0138786192808589,0,1,
973431.572442312,5945832.86147076,31103,DEU,5,0.0112840661830194,0.0112840661830194,0,0,0.922960124528667
1052344.32518984,5922794.55843136,31104,DEU,3,0.00581940767954662,0.00581940767954662,0,0,
898128.239122433,5881366.50132718,31105,DEU,2,0.00831162486674637,0.00831162486674637,0,0,
648808.233456969,5489012.86345266,31106,ITA,2,0.000389934278713539,0.000389934278713539,0,0,
2200650.89296391,4447935.62072446,31107,GRC,10,0.0248544458772689,0.0248544458772689,0,0,1.79520335361248
2232223.56086294,4476365.07024718,31108,GRC,2,0.00498481349729747,0.00498481349729747,0,0,
813916.810471355,6582949.93216892,31109,DNK,3,4.15565810902044e-005,4.15565810902044e-005,0,0,
673003.71178982,6295517.10303998,31110,DEU,2,0.000119464329735143,0.000119464329735143,0,0,
1744655.85248212,6645447.80942959,31111,LTU,2,0.00091269320168579,0.00091269320168579,0,1,
668341.329258858,6702873.00771157,31112,DNK,4,0.0289146169535685,0.0289146169535685,0,0,2.03928593895659
