lat,lon,State,panel.area,power,panels,landscape.area,water,urban,Address,demand_10km_MWh,demand_20km_MWh,demand_50km_MWh,land_cover,min distance to city (in miles),slope,elevation
35.5829262221781,-120.707851920742,CA,0.0008730721860746,,35.0,1.59293933454227,0.0,0.0,"2212 Claassen Ranch Ln, Paso Robles, CA 93446, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,95.2644,4,264
35.5031801471357,-120.470165088257,CA,8.0502982661128e-05,,8.0,0.0001276953753232,0.0,0.0,"3680 Stage Springs Rd, Creston, CA 93432, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,103.4484,7,412
35.5845956387458,-120.608184169714,CA,0.0001853535264786,,8.0,0.000271867919445,0.0,0.0,"2550 Creston Ridge Ln, Paso Robles, CA 93446, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,103.4861,7,268
35.57084436233,-120.637960884927,CA,0.0002141350990198,,8.0,0.0142488715926372,0.0,0.0,"28 Deer View Ln, Templeton, CA 93465, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,97.8495,1,292
35.5880851187248,-120.669035231801,CA,0.002365316456577,,149.0,5.41626745895207,0.0,0.0,"2325 Warm Springs Ln, Templeton, CA 93465, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,101.184,3,267
35.7423839941397,-120.570572465161,CA,0.0001281379993446,,10.0,0.0002744583593904,0.0,0.0,"PCRH+XQ Paso Robles, CA, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,119.1325,2,318
35.7187712086628,-120.571956915166,CA,7.6379889639793e-05,,11.0,0.0001120382541217,0.0,0.0,"6285 Hawk Ridge Pl, San Miguel, CA 93451, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,116.6765,2,304
35.1812156930902,-120.560034921877,CA,0.0005271463941525,,25.0,0.793141015149474,0.0,0.0,"1935 Corbett Highlands Pl, Arroyo Grande, CA 93420, USA",4974154.736842105,4974154.736842105,4974154.736842105,0.0,35.8119,12,146
38.6453964289873,-121.167423579759,CA,0.0742675785685724,,125.0,0.512284461407938,0.0,1.0,"JRWM+52 Folsom, CA, USA",4974154.736842105,6149197.736842105,16771580.736842103,0.0,18.4692,1,77
37.8922356696447,-122.448683027934,CA,0.0003746258115917,,9.0,0.000528042129606,0.0,0.0,"3152 Paradise Dr, Belvedere Tiburon, CA 94920, USA",4974154.736842105,5901392.736842105,6235439.736842105,1.0,29.2231,10,39
35.2105669908689,-120.560551669022,CA,0.0001801303649935,,10.0,0.166548707761288,0.0,0.0,"6640 Camino Poletti, San Luis Obispo, CA 93401, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,42.3975,2,143
37.283721671516,-122.054676734355,CA,0.000980475175973,,14.0,0.001590451653853,0.0,0.0,"21990 Prospect Rd, Saratoga, CA 95070, USA",4974154.736842105,9388312.736842103,10215782.736842103,1.0,12.8618,9,218
35.1929819509157,-120.710721811342,CA,0.0011136575895441,,61.0,0.955874785368696,0.0,0.0,"6550 Avila Valley Dr, San Luis Obispo, CA 93405, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,43.7074,9,30
37.4111300188143,-121.980771126189,CA,0.0060158603372371,,20.0,0.0110779821005217,0.0,0.0,"5488 Marvell Ln, Santa Clara, CA 95054, USA",9388312.736842103,10215782.736842103,10549829.736842103,0.0,6.9171000000000005,0,3
35.3803392731602,-120.667943947525,CA,2.30484202466905e-05,,4.0,8.11437819376588e-05,0.0,0.0,"8760 Tassajara Creek Rd, Santa Margarita, CA 93453, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,68.6392,7,387
35.1921250893713,-120.437426192245,CA,0.0002128550064973,,11.0,0.0003193008179515,0.0,0.0,"5HR7+V2 Arroyo Grande, CA, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,47.3913,8,206
35.5112883880697,-120.679543539646,CA,8.53944745883346e-05,,9.0,0.0100178684657812,0.0,1.0,"3825 La Luz Rd, Atascadero, CA 93422, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,84.1516,9,270
35.5150240887836,-120.669504809633,CA,7.37129782401025e-05,,5.0,7.37727583479136e-05,0.0,1.0,"3201 Via Del Sueno, Atascadero, CA 93422, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,85.7072,3,245
37.502217598239,-121.938941517122,CA,0.004369598098874,,27.0,0.0142416426204331,0.0,1.0,"Warm Springs / South Fremont, 45193 Warm Springs Blvd, Fremont, CA 94539, USA",4974154.736842105,9388312.736842103,10549829.736842103,1.0,6.4031,1,14
35.6503421450174,-120.858208536623,CA,0.000111941466039,,25.0,0.000442672547087,0.0,0.0,"9430 Toyon Way, Paso Robles, CA 93446, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,109.6746,12,542
35.0947097436257,-120.610630153319,CA,0.0003115748636014,,12.0,0.0006672339903451,0.0,1.0,"1972 Silver Spur Pl, Oceano, CA 93445, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,33.0492,0,7
35.4924501190832,-120.6303351051,CA,0.0002442228459764,,35.0,0.0004877754066288,0.0,0.0,"3390 Adobe Canyon Rd, Atascadero, CA 93422, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,86.12939999999999,19,389
35.4930772033265,-120.646898692663,CA,8.53742882832885e-05,,8.0,0.0089103421192169,0.0,0.0,"7285 Sycamore Rd, Atascadero, CA 93422, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,81.0485,1,256
35.4796771089197,-120.580079163577,CA,0.0001280893460847,,10.0,0.0077641649581529,0.0,0.0,"6753 Rocky Canyon Rd, Creston, CA 93432, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,91.2314,9,449
35.5567389226741,-120.51577167905,CA,0.0001916192636769,,11.0,0.0072037502675503,0.0,0.0,"4950 Rio Dosa Ln, Paso Robles, CA 93446, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,101.1254,1,335
35.5476115916101,-120.509958373213,CA,0.0003760900184013,,28.0,0.420324907955361,0.0,0.0,"4755 Devonshire Ln, Paso Robles, CA 93446, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,100.3646,10,349
35.2627031306646,-120.696376870003,CA,0.0018506539229676,,12.0,0.0320994790555239,0.0,1.0,"28 Los Osos Valley Rd, San Luis Obispo, CA 93405, USA",4974154.736842105,4974154.736842105,4974154.736842105,0.0,50.8437,1,46
35.5805409390949,-120.803645351933,CA,0.0001657370578199,,4.0,0.0002068178467005,0.0,0.0,"5985 Vineyard Dr, Paso Robles, CA 93446, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,98.4523,5,359
35.231997503667,-120.623081973076,CA,0.0080720516231879,,6.0,0.009024256940864,0.0,0.0,"4910 Edna Rd, San Luis Obispo, CA 93401, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,45.9347,3,74
35.6568975025815,-120.777190015022,CA,0.0001251716933809,,6.0,0.0041004668191708,0.0,0.0,"4520 Adelaida Rd, Paso Robles, CA 93446, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,108.7258,8,500
35.487243588123,-120.881489799373,CA,9.09767836742103e-05,,6.0,0.0001400300683267,0.0,0.0,"1860 Cottonwood Cir, Paso Robles, CA 93446, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,91.187,14,114
35.4055927857131,-120.803104232734,CA,5.15460602037347e-05,,11.0,0.0001591997671628,0.0,0.0,"C54W+6Q Morro Bay, CA, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,84.0313,8,245
35.5181400962838,-120.801232272686,CA,4.23411793261766e-05,,6.0,0.0051397126558646,0.0,0.0,"G59X+7G Atascadero, CA, USA",4974154.736842105,4974154.736842105,4974154.736842105,0.0,99.8907,20,370
35.5357224417347,-120.803010163312,CA,0.0002210392998438,,50.0,0.19548447249092,0.0,0.0,"5285 Santa Rita Ranch Rd, Templeton, CA 93465, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,101.1022,9,419
35.6705285287539,-120.566579443309,CA,0.0089129254934154,,66.0,0.0273195955047607,0.0,0.0,"7000 CA-46, Paso Robles, CA 93446, USA",4974154.736842105,4974154.736842105,4974154.736842105,0.0,112.2811,3,290
35.2261008539369,-120.672513585995,CA,2.55903072729707e-05,,6.0,3.39461958110332e-05,0.0,0.0,"4977 Jespersen Rd, San Luis Obispo, CA 93401, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,50.5535,5,35
