Latitude,Longitude,State,panel.area,power,panels,landscape.area,water,urban,Address,demand_10km_MWh,demand_20km_MWh,demand_50km_MWh
35.7766154,-105.91436,NM,0.0001406266846412,,1.0,0.0,0.0,0.0,"4 Cam Sin Ganas, Santa Fe, NM 87506, USA",4974154.736842105,4974154.736842105,4974154.736842105
35.8148912,-105.9192471,NM,0.0001406266846412,,1.0,0.0,0.0,0.0,"65 Vista Redonda, Santa Fe, NM 87506, USA",4974154.736842105,4974154.736842105,4974154.736842105
35.8087898,-105.9108927,NM,0.0001406266846412,,1.0,0.0,0.0,0.0,"3 Heather Ln, Santa Fe, NM 87501, USA",4974154.736842105,4974154.736842105,4974154.736842105
35.8160707,-105.9124911,NM,0.0001406266846412,,1.0,0.0,0.0,0.0,"9C Abs Rd, Santa Fe, NM 87506, USA",4974154.736842105,4974154.736842105,4974154.736842105
35.8289646,-105.9313297,NM,0.0001406266846412,,1.0,0.0,0.0,0.0,"57 Don Filomeno, Santa Fe, NM 87506, USA",4974154.736842105,4974154.736842105,4974154.736842105
35.7034484,-105.9685295,NM,0.0001406266846412,,1.0,0.0,0.0,0.0,"1204 Tortola Trail, Santa Fe, NM 87507, USA",4974154.736842105,4974154.736842105,4974154.736842105
35.6801095,-105.9963656,NM,0.0001406266846412,,1.0,0.0,0.0,0.0,"557 Camino Don Emilio, Santa Fe, NM 87507, USA",4974154.736842105,4974154.736842105,4974154.736842105
35.6876863,-105.9973737,NM,0.0001406266846412,,1.0,0.0,0.0,0.0,"231 Camino Tres Arroyos, Santa Fe, NM 87507, USA",4974154.736842105,4974154.736842105,4974154.736842105
35.6742898,-106.0078637,NM,0.0001406266846412,,1.0,0.0,0.0,0.0,"919 Chicoma Vista, Santa Fe, NM 87507, USA",4974154.736842105,4974154.736842105,4974154.736842105
35.6712509,-106.011799,NM,0.0001406266846412,,1.0,0.0,0.0,0.0,"4359 W Alameda St, Santa Fe, NM 87507, USA",4974154.736842105,4974154.736842105,4974154.736842105
35.6674033,-106.014006,NM,0.0001406266846412,,1.0,0.0,0.0,0.0,"1479B Sierra Azul, Santa Fe, NM 87507, USA",4974154.736842105,4974154.736842105,4974154.736842105
35.7382734,-105.9934095,NM,0.0001406266846412,,1.0,0.0,0.0,0.0,"11 Cam Bonito, Santa Fe, NM 87506, USA",4974154.736842105,4974154.736842105,4974154.736842105
35.7461708,-105.9935262,NM,0.0001406266846412,,1.0,0.0,0.0,0.0,"100 Estrellas De Tano, Santa Fe, NM 87506, USA",4974154.736842105,4974154.736842105,4974154.736842105
35.7407262,-106.0320348,NM,0.0001406266846412,,1.0,0.0,0.0,0.0,"9 Vuelta Chamisa, Santa Fe, NM 87506, USA",4974154.736842105,4974154.736842105,4974154.736842105
